"match_id","utc_start_time","season_id","round_id","home_team_id","away_team_id","venue_name","venue_location","venue_state","venue_timezone","match_date","match_time"
"CD_M20222640101",2022-01-07 08:15:00,2022,1,"SK","RI","Skybus Stadium","Frankston","VIC","Australia/Melbourne","07-01-2022","19:15 +1100"
"CD_M20222640102",2022-01-08 06:10:00,2022,1,"NM","GE","Arden Street Oval","Melbourne","VIC","Australia/Melbourne","08-01-2022","17:10 +1100"
"CD_M20222640103",2022-01-08 08:00:00,2022,1,"WB","ME","Victoria University Whitten Oval","Melbourne","VIC","Australia/Melbourne","08-01-2022","19:00 +1100"
"CD_M20222640104",2022-01-08 09:50:00,2022,1,"FR","AD","Fremantle Oval","Perth","WA","Australia/Perth","08-01-2022","17:50 +0800"
"CD_M20222640105",2022-01-09 05:10:00,2022,1,"CA","CW","Ikon Park","Melbourne","VIC","Australia/Melbourne","09-01-2022","16:10 +1100"
"CD_M20222640106",2022-01-09 07:10:00,2022,1,"GC","GW","Great Barrier Reef Arena","Mackay","QLD","Australia/Queensland","09-01-2022","17:10 +1000"
"CD_M20222640107",2022-01-09 09:10:00,2022,1,"WC","BL","Mineral Resources Park","Perth","WA","Australia/Perth","09-01-2022","17:10 +0800"
"CD_M20222640201",2022-01-14 08:10:00,2022,2,"RI","ME","Swinburne Centre","Melbourne","VIC","Australia/Melbourne","14-01-2022","19:10 +1100"
"CD_M20222640202",2022-01-15 04:10:00,2022,2,"CW","SK","Victoria Park","Melbourne","VIC","Australia/Melbourne","15-01-2022","15:10 +1100"
"CD_M20222640203",2022-01-15 06:10:00,2022,2,"BL","CA","Maroochydore","Maroochydore","QLD","Australia/Brisbane","15-01-2022","16:10 +1000"
"CD_M20222640204",2022-01-15 08:10:00,2022,2,"GE","WB","GMHBA Stadium","Geelong","VIC","Australia/Melbourne","15-01-2022","19:10 +1100"
"CD_M20222640205",2022-01-15 10:10:00,2022,2,"WC","GC","Mineral Resources Park","Perth","WA","Australia/Perth","15-01-2022","18:10 +0800"
