"Player","Team","Price","L01","L02","L03","L04","L05","LastScore","SeasonAvg","Last3Avg","Last5Avg"
"Aaron Black","WCE",221000,0,0,0,0,0,0,0,0,0
"Aaron Francis","ESS",387000,25,63,43,0,0,25,43.6666666666667,43.6666666666667,43.6666666666667
"Aaron Hall","NTH",818000,50,95,86,92,125,50,89.6,77,89.6
"Aaron Naughton","WBD",603000,95,92,56,66,102,95,73,81,82.2
"Adam Cerra","CAR",755000,95,106,89,107,91,95,92,96.6666666666667,97.6
"Adam Kennedy","GWS",532000,89,49,74,94,61,89,67.8333333333333,70.6666666666667,73.4
"Adam Saad","CAR",615000,63,50,96,89,61,63,76.5,69.6666666666667,71.8
"Adam Tomlinson","MEL",457000,33,40,88,35,0,33,49,53.6666666666667,49
"Adam Treloar","WBD",767000,134,90,78,88,109,134,96.8888888888889,100.666666666667,99.8
"Aidan Corr","NTH",402000,44,53,55,34,57,44,50.125,50.6666666666667,45
"Aiden Begg","COLL",269000,13,54,64,0,0,13,43.6666666666667,43.6666666666667,43.6666666666667
"Aiden Bonar","NTH",215000,30,-3,-3,22,0,30,11.5,8,11.5
"Alastair Lord","ESS",2e+05,0,0,0,0,0,0,0,0,0
"Alec Waterman","ESS",392000,24,26,65,48,53,24,43.2,38.3333333333333,43.2
"Alex Davies","GCS",335000,54,41,22,38,28,54,41.5,44.6666666666667,38.8
"Alex Keath","WBD",444000,65,95,35,28,0,65,55.75,65,55.75
"Alex Mirkov","CAR",190000,0,0,0,0,0,0,0,0,0
"Alex Neal-Bullen","MEL",603000,84,81,65,58,36,84,76.25,83,74.4
"Alex Pearce","FRE",336000,31,48,46,29,56,31,41,41.6666666666667,42
"Alex Sexton","GCS",425000,30,12,0,0,0,30,21,21,21
"Alex Witherden","WCE",828000,112,97,117,102,92,112,101.571428571429,108.666666666667,105.6
"Aliir Aliir","PTA",436000,69,63,63,33,21,69,49.3333333333333,65,49.8
"Andrew Brayshaw","FRE",928000,99,134,83,116,123,99,117.888888888889,105.333333333333,111
"Andrew Gaff","WCE",736000,68,47,98,100,0,68,78.25,71,78.25
"Andrew McGrath","ESS",666000,78,62,74,108,70,78,81,71.3333333333333,78.4
"Andrew McPherson","ADE",465000,40,0,0,0,0,40,40,40,40
"Andrew Phillips","ESS",512000,5,64,71,0,0,5,46.6666666666667,46.6666666666667,46.6666666666667
"Andy Moniz-Wakefield","MEL",190000,0,0,0,0,0,0,0,0,0
"Angus Brayshaw","MEL",779000,92,123,110,90,75,92,98.3333333333333,108.333333333333,98
"Angus Sheldrick","SYD",255000,28,0,0,0,0,28,28,28,28
"Anthony McDonald-Tipungwuti","ESS",454000,0,0,0,0,0,0,0,0,0
